proyecto,lote,precioTotal,enganche,financiamento,plazo,mensualidad,inicioContrato,idUser
614d628ff78aaaa5a1dc9c18,6,140298,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dca9cd
614d628ff78aaaa5a1dc9c18,39,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaadd
614d628ff78aaaa5a1dc9c18,40,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaadd
614d628ff78aaaa5a1dc9c18,44,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaadd
614d628ff78aaaa5a1dc9c18,45,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaadd
614d628ff78aaaa5a1dc9c18,53,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaade
614d628ff78aaaa5a1dc9c18,28,144900,21735,123165,60,2053,01/09/2021,614d6bb3f78aaaa5a1dcaae0
614d628ff78aaaa5a1dc9c18,29,144900,21735,123165,60,2053,01/09/2021,614d6bb3f78aaaa5a1dcaae0
614d628ff78aaaa5a1dc9c18,38,144900,21735,123165,60,2053,01/09/2021,614d6bb3f78aaaa5a1dcaae0
614d628ff78aaaa5a1dc9c18,56,144900,21735,123165,60,2053,01/09/2021,614d6bb3f78aaaa5a1dcaae0
614d628ff78aaaa5a1dc9c18,50,147339,22101,125238,60,2087,01/09/2021,614d6bb3f78aaaa5a1dcaae1
614d628ff78aaaa5a1dc9c18,35,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaae2
614d628ff78aaaa5a1dc9c18,30,144900,21735,123165,60,2053,01/08/2021,614d6bb3f78aaaa5a1dcaae3
614d628ff78aaaa5a1dc9c18,7,149416,22412,127004,60,2117,01/09/2021,614d6bb3f78aaaa5a1dcaae5
614d628ff78aaaa5a1dc9c18,7,144900,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dcaae8
614d628ff78aaaa5a1dc9c18,8,144900,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dcaae9
614d628ff78aaaa5a1dc9c18,12,148472,22271,126201,60,2103,15/08/2021,614d6bb3f78aaaa5a1dcaaea
614d628ff78aaaa5a1dc9c18,39,144900,21735,123165,60,2053,15/08/2021,614d6bb3f78aaaa5a1dcaaeb
614d628ff78aaaa5a1dc9c18,11,148472,22271,127201,60,2103,15/06/2021,614d6bb3f78aaaa5a1dcaaed
614d628ff78aaaa5a1dc9c18,21,144900,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dcaaf1
614d628ff78aaaa5a1dc9c18,11,148472,22271,127201,60,2103,15/06/2021,614d6bb3f78aaaa5a1dcaaed
614d628ff78aaaa5a1dc9c18,13,144900,21735,123165,60,2053,15/08/2021,614d6bb3f78aaaa5a1dcaaf2
614d628ff78aaaa5a1dc9c18,2,499900,100000,399900,36,11108,15/07/2021,614d6bb3f78aaaa5a1dcaaf3
614d628ff78aaaa5a1dc9c18,37,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaaf4
614d628ff78aaaa5a1dc9c18,45,189812,28472,161340,60,2689,01/07/2021,614d6bb3f78aaaa5a1dcaaf5
614d628ff78aaaa5a1dc9c18,27,144900,21735,123165,60,2053,01/09/2021,614d6bb3f78aaaa5a1dcaaf8
614d628ff78aaaa5a1dc9c18,28,144900,21735,123165,60,2053,01/09/2021,614d6bb3f78aaaa5a1dcaaf8
614d628ff78aaaa5a1dc9c18,44,147339,22101,125238,60,2087,15/08/2021,614d6bb3f78aaaa5a1dcaaf9
614d628ff78aaaa5a1dc9c18,53,144900,21735,123165,60,2053,01/07/2021,614d6bb3f78aaaa5a1dcaade
614d628ff78aaaa5a1dc9c18,43,189812,28472,161340,60,2689,01/07/2021,614d6bb3f78aaaa5a1dcaafe
614d628ff78aaaa5a1dc9c18,36,144900,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dca9cd
614d628ff78aaaa5a1dc9c18,12,144900,21735,123165,60,2053,01/08/2021,614d6bb3f78aaaa5a1dcab0c
614d628ff78aaaa5a1dc9c18,37,144900,21735,123165,60,2053,15/08/2021,614d6bb3f78aaaa5a1dcab11
614d628ff78aaaa5a1dc9c18,31,144900,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dcaa3d
614d628ff78aaaa5a1dc9c18,22,144900,21735,123165,60,2053,15/07/2021,614d6bb3f78aaaa5a1dcab12
614d628ff78aaaa5a1dc9c18,54,144900,21735,123165,60,2053,15/08/2021,614d6bb3f78aaaa5a1dcab1e
